country;year;month;MCS;CG;volume(Kg);weight;value(EUR)
Ireland;2023;7;Groundfish;Saithe (=Coalfish);22219.1;Net weight;297961.35
Ireland;2023;7;Crustaceans;Shrimp, miscellaneous;73370.82;Net weight;1583376.82
Ireland;2023;7;Groundfish;Haddock;78082.55;Net weight;1051973.9
Ireland;2023;7;Miscellaneous aquatic products;Other unspecified products;142430.97;Net weight;1799377.65
Ireland;2023;8;Groundfish;Haddock;65211.59;Net weight;820602.84
Ireland;2023;8;Miscellaneous aquatic products;Other unspecified products;78572.67;Net weight;1211410.28
Ireland;2023;8;Salmonids;Salmon;433404.39;Net weight;9439872.8
Ireland;2023;8;Groundfish;Cod;77987.54;Net weight;1150926.0
Ireland;2023;8;Small pelagics;Mackerel;21048.61;Net weight;251527.24
Ireland;2023;8;Groundfish;Hake;42376.03;Net weight;606060.68
Ireland;2023;8;Groundfish;Saithe (=Coalfish);20944.56;Net weight;260004.55
Ireland;2023;8;Crustaceans;Shrimp, miscellaneous;59815.88;Net weight;1268541.28
Ireland;2023;9;Crustaceans;Shrimp, miscellaneous;51930.29;Net weight;1135341.34
Ireland;2023;9;Groundfish;Saithe (=Coalfish);14716.59;Net weight;176547.4
Ireland;2023;9;Groundfish;Hake;45214.69;Net weight;666321.17
Ireland;2023;9;Miscellaneous aquatic products;Other unspecified products;78995.52;Net weight;1211645.64
Ireland;2023;9;Groundfish;Haddock;47241.03;Net weight;585274.21
Ireland;2023;9;Salmonids;Salmon;388168.65;Net weight;8087487.64
Ireland;2023;9;Groundfish;Cod;79820.66;Net weight;1131372.07
Ireland;2023;9;Small pelagics;Mackerel;16598.48;Net weight;236638.88
Ireland;2022;1;Groundfish;Saithe (=Coalfish);23949.26;Net weight;263748.62
Ireland;2022;1;Groundfish;Hake;62696.89;Net weight;859758.14
Ireland;2022;1;Small pelagics;Mackerel;61396.35;Net weight;614484.13
Ireland;2022;1;Groundfish;Cod;114175.81;Net weight;1462243.07
Ireland;2022;1;Salmonids;Salmon;631748.16;Net weight;1.141293705E7
Ireland;2022;1;Miscellaneous aquatic products;Other unspecified products;171345.85;Net weight;2103345.09
Ireland;2022;1;Groundfish;Haddock;101071.52;Net weight;1328284.72
Ireland;2022;1;Crustaceans;Shrimp, miscellaneous;79862.61;Net weight;1500962.84
Ireland;2022;10;Miscellaneous aquatic products;Other unspecified products;113868.94;Net weight;1535796.38
Ireland;2022;10;Groundfish;Haddock;68057.09;Net weight;997524.55
Ireland;2022;10;Crustaceans;Shrimp, miscellaneous;42575.08;Net weight;891766.97
Ireland;2022;10;Groundfish;Saithe (=Coalfish);27421.23;Net weight;316903.69
Ireland;2022;10;Groundfish;Hake;50457.19;Net weight;654576.82
Ireland;2022;10;Small pelagics;Mackerel;39952.44;Net weight;459670.3
Ireland;2022;10;Groundfish;Cod;112867.23;Net weight;1462661.13
Ireland;2022;10;Salmonids;Salmon;504493.96;Net weight;9531988.51
Ireland;2022;11;Miscellaneous aquatic products;Other unspecified products;95795.4;Net weight;1406147.82
Ireland;2022;11;Groundfish;Haddock;56313.59;Net weight;814678.56
Ireland;2022;11;Crustaceans;Shrimp, miscellaneous;44921.23;Net weight;912765.27
Ireland;2022;11;Groundfish;Saithe (=Coalfish);30719.53;Net weight;350298.5
Ireland;2022;11;Groundfish;Hake;52656.56;Net weight;646958.85
Ireland;2022;11;Small pelagics;Mackerel;27648.94;Net weight;319281.2
Ireland;2022;11;Groundfish;Cod;95404.85;Net weight;1334613.46
Ireland;2022;11;Salmonids;Salmon;417440.02;Net weight;7970989.11
Ireland;2022;12;Salmonids;Salmon;498282.37;Net weight;1.038099882E7
Ireland;2022;12;Groundfish;Cod;71699.87;Net weight;1024244.79
Ireland;2022;12;Small pelagics;Mackerel;13607.29;Net weight;185227.0
Ireland;2022;12;Groundfish;Hake;37829.91;Net weight;518607.34
Ireland;2022;12;Groundfish;Saithe (=Coalfish);22405.01;Net weight;278081.98
Ireland;2022;12;Crustaceans;Shrimp, miscellaneous;89307.51;Net weight;2122848.41
Ireland;2022;12;Groundfish;Haddock;32499.24;Net weight;486476.68
Ireland;2022;12;Miscellaneous aquatic products;Other unspecified products;113427.14;Net weight;1879382.13
Ireland;2022;2;Salmonids;Salmon;483752.59;Net weight;8581545.04
Ireland;2022;2;Groundfish;Cod;126118.04;Net weight;1717877.9
Ireland;2022;2;Small pelagics;Mackerel;43755.36;Net weight;445814.5
Ireland;2022;2;Groundfish;Hake;61987.31;Net weight;814955.45
Ireland;2022;2;Groundfish;Saithe (=Coalfish);28085.65;Net weight;302732.71
Ireland;2022;2;Crustaceans;Shrimp, miscellaneous;47219.76;Net weight;905118.58
Ireland;2022;2;Groundfish;Haddock;63273.89;Net weight;797584.53
Ireland;2022;2;Miscellaneous aquatic products;Other unspecified products;168658.2;Net weight;2359533.16
Ireland;2022;3;Salmonids;Salmon;444800.97;Net weight;7916175.98
Ireland;2022;3;Groundfish;Cod;107422.92;Net weight;1382245.8
Ireland;2022;3;Small pelagics;Mackerel;42434.15;Net weight;426262.54
Ireland;2022;3;Groundfish;Hake;66637.84;Net weight;872995.13
Ireland;2022;3;Groundfish;Saithe (=Coalfish);34301.3;Net weight;364509.27
Ireland;2022;3;Crustaceans;Shrimp, miscellaneous;46473.38;Net weight;897020.39
Ireland;2022;3;Groundfish;Haddock;71101.36;Net weight;957622.72
Ireland;2022;3;Miscellaneous aquatic products;Other unspecified products;150591.09;Net weight;2094651.1
Ireland;2022;4;Salmonids;Salmon;458648.38;Net weight;8595523.63
Ireland;2022;4;Groundfish;Cod;130733.26;Net weight;1753504.76
Ireland;2022;4;Small pelagics;Mackerel;39140.81;Net weight;442949.18
Ireland;2022;4;Groundfish;Hake;82426.67;Net weight;1182846.69
Ireland;2022;4;Groundfish;Saithe (=Coalfish);40729.97;Net weight;471260.35
Ireland;2022;4;Crustaceans;Shrimp, miscellaneous;53126.16;Net weight;1038310.82
Ireland;2022;4;Groundfish;Haddock;72814.07;Net weight;1022176.7
Ireland;2022;4;Miscellaneous aquatic products;Other unspecified products;171372.01;Net weight;2293745.81
Ireland;2022;5;Miscellaneous aquatic products;Other unspecified products;162160.24;Net weight;2306595.51
Ireland;2022;5;Groundfish;Haddock;74637.69;Net weight;1014085.12
Ireland;2022;5;Crustaceans;Shrimp, miscellaneous;67432.83;Net weight;1241362.4
Ireland;2022;5;Groundfish;Saithe (=Coalfish);25799.56;Net weight;280033.17
Ireland;2022;5;Groundfish;Hake;82110.11;Net weight;1150604.34
Ireland;2022;5;Small pelagics;Mackerel;52290.96;Net weight;507340.59
Ireland;2022;5;Groundfish;Cod;119992.08;Net weight;1664372.56
Ireland;2022;5;Salmonids;Salmon;525602.28;Net weight;9776204.83
